accession,tax_id,organism_name,common_name,fasta_url_download
GCF_012559485.2,9541,Macaca fascicularis,crab-eating macaque,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_012559485.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Macacafascicularis.zip"
GCF_009806435.1,9986,Oryctolagus cuniculus,rabbit,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_009806435.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Oryctolaguscuniculus.zip"
GCF_002863925.1,9796,Equus caballus,horse,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002863925.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Equuscaballus.zip"
GCF_018350175.1,9685,Felis catus,domestic cat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_018350175.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Feliscatus.zip"
GCF_011100555.1,9483,Callithrix jacchus,white-tufted-ear marmoset,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011100555.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Callithrixjacchus.zip"
GCF_000247795.1,9915,Bos indicus,zebu cattle,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000247795.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Bosindicus.zip"
GCA_005887515.3,30521,Bos grunniens,domestic yak,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_005887515.3/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Bosgrunniens.zip"
GCF_028858775.1,9598,Pan troglodytes,chimpanzee,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_028858775.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pantroglodytes.zip"
GCF_011064425.1,10117,Rattus rattus,black rat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011064425.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Rattusrattus.zip"
GCF_027887165.1,13616,Monodelphis domestica,gray short-tailed opossum,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_027887165.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Monodelphisdomestica.zip"
GCF_008728515.1,9555,Papio anubis,olive baboon,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_008728515.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Papioanubis.zip"
GCF_016881025.1,43179,Ictidomys tridecemlineatus,thirteen-lined ground squirrel,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016881025.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ictidomystridecemlineatus.zip"
GCF_016077325.2,9793,Equus asinus,ass,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016077325.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Equusasinus.zip"
GCF_011762595.1,9739,Tursiops truncatus,common bottlenose dolphin,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011762595.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Tursiopstruncatus.zip"
GCF_003704035.1,230844,Peromyscus maniculatus bairdii,prairie deer mouse,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003704035.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Peromyscusmaniculatusbairdii.zip"
GCF_004115265.2,59479,Rhinolophus ferrumequinum,greater horseshoe bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_004115265.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Rhinolophusferrumequinum.zip"
GCF_002007445.2,9646,Ailuropoda melanoleuca,giant panda,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002007445.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ailuropodamelanoleuca.zip"
GCF_018350195.1,9694,Panthera tigris,tiger,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_018350195.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pantheratigris.zip"
GCF_000803125.2,9838,Camelus dromedarius,Arabian camel,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000803125.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Camelusdromedarius.zip"
GCF_020171115.1,452646,Neogale vison,American mink,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_020171115.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Neogalevison.zip"
GCF_902635505.1,9305,Sarcophilus harrisii,Tasmanian devil,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_902635505.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Sarcophilusharrisii.zip"
GCA_028372415.1,9315,Notamacropus eugenii,tammar wallaby,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028372415.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Notamacropuseugenii.zip"
GCF_000317375.1,79684,Microtus ochrogaster,prairie vole,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000317375.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Microtusochrogaster.zip"
GCF_029281585.1,9595,Gorilla gorilla gorilla,western lowland gorilla,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_029281585.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Gorillagorillagorilla.zip"
GCF_030445035.1,9361,Dasypus novemcinctus,nine-banded armadillo,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_030445035.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Dasypusnovemcinctus.zip"
GCF_004664715.2,10041,Peromyscus leucopus,white-footed mouse,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_004664715.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Peromyscusleucopus.zip"
GCF_003369695.1,30522,Bos indicus x Bos taurus,hybrid cattle,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003369695.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=BosindicusxBostaurus.zip"
GCF_004115215.2,9258,Ornithorhynchus anatinus,platypus,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_004115215.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ornithorhynchusanatinus.zip"
GCF_023065955.2,9644,Ursus arctos,brown bear,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_023065955.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ursusarctos.zip"
GCF_024166365.1,99487,Elephas maximus indicus,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_024166365.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Elephasmaximusindicus.zip"
GCA_949782905.1,228257,Rangifer tarandus platyrhyncus,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_949782905.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Rangifertarandusplatyrhyncus.zip"
GCA_029890205.1,10068,Acomys cahirinus,Egyptian spiny mouse,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_029890205.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Acomyscahirinus.zip"
GCF_007565055.1,61622,Rhinopithecus roxellana,golden snub-nosed monkey,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_007565055.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Rhinopithecusroxellana.zip"
GCF_910594005.1,9860,Cervus elaphus,red deer,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_910594005.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Cervuselaphus.zip"
GCF_028885625.1,9600,Pongo pygmaeus,Bornean orangutan,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_028885625.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pongopygmaeus.zip"
GCF_028885655.1,9601,Pongo abelii,Sumatran orangutan,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_028885655.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pongoabelii.zip"
GCF_015852505.1,9261,Tachyglossus aculeatus,Australian echidna,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_015852505.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Tachyglossusaculeatus.zip"
GCF_027475565.1,32536,Acinonyx jubatus,cheetah,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_027475565.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Acinonyxjubatus.zip"
GCA_028021215.1,9764,Eschrichtius robustus,grey whale,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028021215.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Eschrichtiusrobustus.zip"
GCF_018345385.1,494514,Vulpes lagopus,Arctic fox,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_018345385.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Vulpeslagopus.zip"
GCF_030020395.1,143292,Manis pentadactyla,Chinese pangolin,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_030020395.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Manispentadactyla.zip"
GCF_022682495.1,9430,Desmodus rotundus,common vampire bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_022682495.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Desmodusrotundus.zip"
GCF_021288785.2,9716,Mirounga angustirostris,Northern elephant seal,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_021288785.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Miroungaangustirostris.zip"
GCF_016509475.1,37029,Prionailurus bengalensis,leopard cat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016509475.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Prionailurusbengalensis.zip"
GCF_029289425.1,9597,Pan paniscus,pygmy chimpanzee,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_029289425.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Panpaniscus.zip"
GCF_006542625.1,61853,Nomascus leucogenys,northern white-cheeked gibbon,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_006542625.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Nomascusleucogenys.zip"
GCF_030435755.1,9978,Ochotona princeps,American pika,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_030435755.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ochotonaprinceps.zip"
GCF_002837175.3,9755,Physeter catodon,sperm whale,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002837175.3/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Physetercatodon.zip"
GCA_000978405.1,9923,Capra aegagrus,wild goat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000978405.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Capraaegagrus.zip"
GCA_020976825.1,9872,Odocoileus hemionus,mule deer,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_020976825.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Odocoileushemionus.zip"
GCF_023159225.1,214514,Perognathus longimembris pacificus,Pacific pocket mouse,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_023159225.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Perognathuslongimembrispacificus.zip"
GCA_028583565.1,230172,Ovis ammon polii,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028583565.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ovisammonpolii.zip"
GCF_018350215.1,9689,Panthera leo,lion,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_018350215.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pantheraleo.zip"
GCF_937001465.1,9733,Orcinus orca,killer whale,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_937001465.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Orcinusorca.zip"
GCF_009762305.2,9704,Zalophus californianus,California sea lion,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_009762305.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Zalophuscalifornianus.zip"
GCF_902655055.1,9657,Lutra lutra,Eurasian river otter,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_902655055.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Lutralutra.zip"
GCF_011762505.1,61156,Arvicanthis niloticus,Nile rat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011762505.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Arvicanthisniloticus.zip"
GCA_921997135.2,10096,Mus spretus,western wild mouse,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_921997135.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Musspretus.zip"
GCF_027595985.1,42254,Sorex araneus,European shrew,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_027595985.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Sorexaraneus.zip"
GCF_030028045.1,575201,Hippopotamus amphibius kiboko,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_030028045.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Hippopotamusamphibiuskiboko.zip"
GCF_021613505.1,89248,Equus quagga,plains zebra,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_021613505.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Equusquagga.zip"
GCA_003704135.2,369710,Peromyscus polionotus subgriseus,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_003704135.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Peromyscuspolionotussubgriseus.zip"
GCF_029407905.1,346063,Bubalus carabanensis,carabao,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_029407905.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Bubaluscarabanensis.zip"
GCA_030848825.1,9438,Tadarida brasiliensis,Brazilian free-tailed bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_030848825.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Tadaridabrasiliensis.zip"
GCF_922984935.1,9662,Meles meles,Eurasian badger,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_922984935.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Melesmeles.zip"
GCA_009493645.1,331036,Bos grunniens x Bos taurus,dzo,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_009493645.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=BosgrunniensxBostaurus.zip"
GCA_031878705.1,9802,Tapirus indicus,Asiatic tapir,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_031878705.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Tapirusindicus.zip"
GCF_027574615.1,29078,Eptesicus fuscus,big brown bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_027574615.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Eptesicusfuscus.zip"
GCF_026419965.1,27615,Kogia breviceps,pygmy sperm whale,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_026419965.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Kogiabreviceps.zip"
GCA_014523465.1,469796,Ovis orientalis,Asiatic mouflon,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_014523465.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ovisorientalis.zip"
GCA_027563665.1,9440,Antrozous pallidus,pallid bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_027563665.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Antrozouspallidus.zip"
GCF_027406575.1,9470,Nycticebus coucang,slow loris,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_027406575.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Nycticebuscoucang.zip"
GCF_019393635.1,33562,Dromiciops gliroides,monito del monte,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_019393635.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Dromiciopsgliroides.zip"
GCF_020740605.2,9447,Lemur catta,Ring-tailed lemur,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_020740605.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Lemurcatta.zip"
GCF_020740685.1,51337,Jaculus jaculus,lesser Egyptian jerboa,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_020740685.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Jaculusjaculus.zip"
GCF_902686445.1,30640,Sciurus carolinensis,gray squirrel,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_902686445.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Sciuruscarolinensis.zip"
GCA_014182915.2,9904,Bos gaurus,gaur,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_014182915.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Bosgaurus.zip"
GCA_030068075.1,9675,Paguma larvata,masked palm civet,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_030068075.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pagumalarvata.zip"
GCF_004126475.2,89673,Phyllostomus discolor,pale spear-nosed bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_004126475.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Phyllostomusdiscolor.zip"
GCF_009873245.2,9771,Balaenoptera musculus,Blue whale,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_009873245.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Balaenopteramusculus.zip"
